pressure,temperature,altitude,ax,ay,az,pitch,roll,yaw
92816.52,20.24,733.77,-0.732539,0.707065,0.498662,36.0851,46.18055,16.33978
92819.2,20.2,733.5296,-0.296504,0.66019,0.788701,22.53618,36.26951,13.61833
92802.47,20.21,735.0251,-0.235957,0.337437,0.961553,9.666822,22.20004,14.20659
92802.47,20.21,735.0251,-0.046992,0.158237,0.84876,5.785067,14.79095,18.92137
92803.88,20.18,734.8983,-0.043574,0.203159,1.049443,3.146949,11.26853,20.11885
92800.63,20.08,735.1889,0.078008,0.155308,0.977666,3.674241,10.41665,18.71121
92806.61,20.05,734.6552,-0.057734,0.174839,1.003057,2.632152,8.232701,20.02722
92799.52,20.03,735.2867,-0.044062,0.324253,1.0846,1.579319,8.414832,24.61679
92803.88,20.04,734.8983,-0.052363,0.110874,0.937139,2.647961,7.749535,25.18861
92800.41,20.05,735.2075,-0.02502,0.186069,1.020146,1.897517,9.860372,25.83279
92799.75,20.05,735.2682,-0.20666,0.230991,1.077764,2.179656,10.09646,26.08409
92803.55,20.04,734.9274,0.008672,0.135776,1.010381,-0.156505,6.057571,26.73468
92810.67,20.02,734.2906,-0.008906,0.077671,0.992314,1.992711,4.166627,26.16594
92809.8,20,734.3698,-0.140254,0.082065,0.997197,5.975446,4.662031,23.15091
92816.5,19.98,733.77,-0.117793,0.133335,1.008428,6.605366,5.378692,23.50398
92811.64,19.95,734.2034,-0.154414,-0.016079,0.949346,6.629945,0.60638,22.43176
92821.25,19.92,733.3446,-0.085566,-0.050259,1.013799,4.186763,0.301189,19.29124
92816.22,19.91,733.7964,-0.126094,0.00687,1.011357,9.137638,0.445458,13.37773
92819.53,19.88,733.5005,-0.190547,-0.021938,0.943975,14.32565,-2.336533,8.782394
92829.73,19.87,732.5889,-0.403926,-0.067837,0.907354,17.95963,-3.320866,9.090775
92831.34,19.87,732.4436,-0.259395,0.006382,0.942021,17.15337,-2.39193,10.66487
92829.31,19.87,732.6259,-0.310664,-0.112271,0.889287,15.53758,-0.979241,12.51683
92826.08,19.87,732.9139,-0.044062,0.068882,0.937139,9.904061,0.920485,11.20821
92819.38,19.86,733.5137,-0.311152,0.011753,0.982061,16.8271,0.628216,10.54559
92830.31,19.83,732.5361,-0.376582,0.094761,1.003545,17.14191,-0.19277,10.3446
92828.05,19.83,732.7396,-0.066523,0.020542,0.920049,12.27537,0.602014,13.23792
92825.7,19.83,732.9483,-0.207148,0.03812,0.943486,18.72965,-2.469122,12.22061
92826.77,19.8,732.8505,-0.333613,0.021519,0.982549,11.69517,-1.985618,12.9848
92826.77,19.8,732.8505,-0.165645,-0.079067,0.966924,9.783571,-3.558875,3.189316
92833.47,19.78,732.2534,-0.156855,0.053745,1.027471,8.927725,-4.040164,359.4684
92843.55,19.77,731.3524,-0.251094,0.028843,0.969854,13.59366,-5.859039,355.0239
92859.34,19.84,729.9414,-0.698848,-0.140591,0.899053,17.87331,-8.275933,351.0959
92859.34,19.84,729.9414,-0.232539,0.270542,1.134404,14.15957,-2.431515,351.8001
92859.16,19.85,729.9572,-0.133418,0.047397,0.970342,13.33612,-1.008322,354.115
92860.7,19.88,729.8198,-0.204219,-0.067349,0.945439,6.894215,2.524665,357.2385
92856,19.87,730.2399,-0.021113,0.069858,0.926885,7.064106,1.444871,359.8439
