pressure,temperature,altitude,ax,ay,az,pitch,roll,yaw
92653.390625,19.290001,748.360657,-0.559575,0.144805,10.459576,1.751872,-0.587239,180.48309303
92653.390625,19.290001,748.360657,-0.559575,0.144805,10.459576,1.792333,-0.880741,180.84477203
92513.625000,19.280001,760.877136,-0.413091,0.181914,9.806744,2.571440,-1.609295,181.51391603
92513.625000,19.280001,760.877136,-0.413091,0.181914,9.806744,3.150716,-2.304257,182.18583703
92513.625000,19.280001,760.877136,-0.320317,0.739531,9.154400,3.270380,-1.595034,180.51805103
92513.625000,19.280001,760.877136,-0.320317,0.739531,9.154400,3.389874,-0.892775,178.85376003
92249.906250,19.280001,784.541321,-0.079595,0.552520,8.202251,3.048593,0.866788,176.59568803
92249.906250,19.280001,784.541321,-0.443364,0.309844,7.582622,2.715862,1.624278,174.85702503
92057.203125,19.270000,801.866699,-0.236821,0.170195,7.060649,1.763907,0.911135,173.60655203
92057.203125,19.270000,801.866699,-0.236821,0.170195,7.060649,1.533012,0.922024,172.38070703
92057.203125,19.270000,801.866699,-0.242192,0.299590,2.649028,2.071873,0.457904,171.85488903
92057.203125,19.270000,801.866699,-0.242192,0.299590,2.649028,2.555332,0.019538,171.33303803
91721.562500,19.270000,832.110168,0.354976,0.308379,-0.906636,1.738634,1.354589,170.10168503
91721.562500,19.270000,832.110168,0.354976,0.308379,-0.906636,0.956111,2.711703,168.85620103
91721.562500,19.270000,832.110168,0.174800,0.298125,-0.669331,0.180631,3.571446,169.96229603
91721.562500,19.270000,832.110168,-0.270513,0.343047,-0.828999,0.068324,3.397743,172.41256703
91557.843750,19.270000,846.896362,-0.193853,0.458770,-0.853413,0.330974,3.218241,175.82011403
91557.843750,19.270000,846.896362,-0.193853,0.458770,-0.853413,0.608264,3.053134,179.23005703
91557.843750,19.270000,846.896362,0.119136,0.095488,-0.989644,-0.238084,3.927745,182.20919803
91557.843750,19.270000,846.896362,0.119136,0.095488,-0.989644,-1.134651,4.752256,185.17379803
91339.968750,19.270000,866.607727,-0.147954,0.066680,-0.777241,-1.343523,5.001948,189.00042703
91339.968750,19.270000,866.607727,-0.147954,0.066680,-0.777241,-1.578396,5.246297,192.82301303
91339.968750,19.270000,866.607727,-0.419438,-0.046602,-0.778706,-0.985465,4.666723,197.28418003
91339.968750,19.270000,866.607727,0.020991,-0.010957,-0.776753,-1.448290,4.686353,201.68763703
91339.968750,19.270000,866.607727,0.020991,-0.010957,-0.776753,-1.945986,4.643579,206.08895903
91104.265625,19.260000,887.973145,-0.062993,0.520293,-0.640522,-2.571301,4.653803,209.14543203
91104.265625,19.260000,887.973145,-0.062993,0.520293,-0.640522,-3.202784,4.631014,212.19725003
91104.265625,19.260000,887.973145,0.064937,0.211211,-0.761616,-4.039283,5.177210,215.44674703
90890.359375,19.260000,907.401794,0.081538,0.389922,-0.777730,-4.753253,5.316512,218.93528703
90890.359375,19.260000,907.401794,0.081538,0.389922,-0.777730,-5.483544,5.408910,222.41980003
90890.359375,19.260000,907.401794,0.020503,-0.098848,-0.687397,-6.249483,4.684622,225.91537503
90890.359375,19.260000,907.401794,0.020503,-0.098848,-0.687397,-6.960117,3.889628,229.42405703
90695.453125,19.250000,925.136719,-0.121587,0.315703,-0.508198,-7.048657,3.942865,232.73156703
90695.453125,19.250000,925.136719,-0.121587,0.315703,-0.508198,-7.141428,3.991071,236.03863503
90695.453125,19.250000,925.136719,0.013179,0.377715,-0.561421,-7.566138,3.627578,239.58750903
90695.453125,19.250000,925.136719,0.013179,0.377715,-0.561421,-7.973703,3.236701,243.13797003
90508.125000,19.250000,942.213745,-0.154302,0.199004,-0.541401,-7.918365,3.313049,246.81698603
90508.125000,19.250000,942.213745,-0.154302,0.199004,-0.541401,-7.867391,3.392674,250.49583403
90508.125000,19.250000,942.213745,-0.104497,0.397734,-0.523823,-8.143098,3.810162,253.94973803
90328.015625,19.230000,958.656616,0.030269,-0.019258,-0.518452,-9.132570,3.431702,257.10357703
90328.015625,19.230000,958.656616,0.158198,-0.038789,-0.502827,-10.091837,2.557899,260.18826303
90328.015625,19.230000,958.656616,0.158198,-0.038789,-0.502827,-11.001424,1.614333,263.29138203
90328.015625,19.230000,958.656616,-0.005376,0.220488,-0.478901,-11.382335,1.124990,266.44662503
90328.015625,19.230000,958.656616,-0.005376,0.220488,-0.478901,-11.745430,0.610599,269.60495003
90143.031250,19.230000,975.572449,-0.047856,0.177520,-0.453022,-11.808740,0.224133,272.96978803
90143.031250,19.230000,975.572449,-0.047856,0.177520,-0.453022,-11.853261,-0.166792,276.33450303
90143.031250,19.230000,975.572449,-0.114263,0.134062,-0.431538,-11.554737,-0.336706,279.55419903
90143.031250,19.230000,975.572449,-0.114263,0.134062,-0.431538,-11.236874,-0.490644,282.77304103
89979.710938,19.209999,990.533020,0.112788,0.048125,-0.402241,-11.900179,-0.772618,286.06820703
89979.710938,19.209999,990.533020,0.112788,0.048125,-0.402241,-12.547820,-1.101754,289.37225303
89979.710938,19.209999,990.533020,0.017573,0.114531,-0.373921,-12.965532,-1.518893,292.83523603
89979.710938,19.209999,990.533020,0.017573,0.114531,-0.373921,-13.368158,-1.972443,296.30371103
89827.554688,19.200001,1004.486816,0.041011,0.199980,-0.379780,-13.482145,-2.636685,299.56308003
89827.554688,19.200001,1004.486816,0.041011,0.199980,-0.379780,-13.565309,-3.311484,302.82159403
89827.554688,19.200001,1004.486816,0.119136,0.281523,-0.324605,-13.546176,-3.976759,306.12011703
89681.031250,19.190001,1017.946594,0.072261,0.042266,-0.353413,-13.693382,-4.663275,309.13775603
89681.031250,19.190001,1017.946594,-0.023931,0.191680,-0.315327,-13.583876,-4.691571,311.92352303
89681.031250,19.190001,1017.946594,-0.023931,0.191680,-0.315327,-13.471487,-4.713766,314.70874003
89681.031250,19.190001,1017.946594,0.028315,0.206328,-0.304097,-13.548750,-4.878370,317.86734003
89681.031250,19.190001,1017.946594,0.028315,0.206328,-0.304097,-13.618858,-5.048384,321.02597003
89548.343750,19.180000,1030.148560,0.075190,0.185820,-0.306538,-13.987460,-5.564585,323.96972703
89548.343750,19.180000,1030.148560,0.045894,0.094512,-0.295308,-14.373599,-6.200782,326.76086403
89548.343750,19.180000,1030.148560,0.045894,0.094512,-0.295308,-14.736140,-6.870763,329.55731203
89416.234375,19.160000,1042.311035,-0.024419,0.225371,-0.232808,-14.610801,-7.284535,332.17804003
89416.234375,19.160000,1042.311035,0.054683,0.207305,-0.236226,-14.529900,-7.634416,334.94384803
89416.234375,19.160000,1042.311035,0.054683,0.207305,-0.236226,-14.433725,-7.980804,337.70712303
89284.812500,19.150000,1054.425781,0.039058,0.212187,-0.226948,-14.254813,-7.953457,340.30084203
89284.812500,19.150000,1054.425781,0.039058,0.212187,-0.226948,-14.075619,-7.916788,342.89404303
89284.812500,19.150000,1054.425781,-0.049810,0.081816,-0.200581,-13.942903,-7.647676,345.09442103
89284.812500,19.150000,1054.425781,-0.049810,0.081816,-0.200581,-13.815243,-7.369941,347.29455603
89173.437500,19.120001,1064.704224,0.025386,0.126250,-0.197651,-14.135797,-7.520266,349.37246703
89173.437500,19.120001,1064.704224,0.003901,-0.005098,-0.206929,-14.507438,-8.661285,351.51464803
89173.437500,19.120001,1064.704224,-0.053228,0.091582,-0.206440,-14.274600,-9.088467,353.43823203
89173.437500,19.120001,1064.704224,-0.053228,0.091582,-0.206440,-14.020329,-9.510869,355.36096203
89173.437500,19.120001,1064.704224,-0.044438,0.082793,-0.184956,-13.614256,-9.921353,357.30096403
89062.437500,19.120001,1074.958984,0.036128,0.064727,-0.170308,-13.670630,-10.505351,359.25140403
89062.437500,19.120001,1074.958984,0.092769,0.156523,-0.159077,-13.693421,-10.617348,1.00830103
89062.437500,19.120001,1074.958984,0.092769,0.156523,-0.159077,-13.713376,-10.730681,2.76464803
88957.968750,19.100000,1084.616455,0.048823,0.084746,-0.158589,-13.934412,-10.694715,4.47952303
88957.968750,19.100000,1084.616455,0.048823,0.084746,-0.158589,-14.157097,-10.666650,6.19528203
88957.968750,19.100000,1084.616455,0.003413,0.091094,-0.132710,-14.576226,-10.298403,7.63154603
88957.968750,19.100000,1084.616455,0.003413,0.091094,-0.132710,-15.007482,-9.940986,9.06611603
88869.640625,19.100000,1092.791626,-0.050298,0.139922,-0.116108,-15.186937,-9.590872,10.40972903
88869.640625,19.100000,1092.791626,-0.050298,0.139922,-0.116108,-15.376624,-9.243302,11.75083903
88869.640625,19.100000,1092.791626,-0.019048,0.053496,-0.136616,-15.737656,-9.111708,13.13974003
